Date,GDP,UNEMP
1961.01,343577,
1961.02,352261,
1961.03,360748,
1961.04,365775,
1962.01,375481,
1962.02,378238,
1962.03,383219,
1962.04,391021,
1963.01,393401,
1963.02,399154,
1963.03,402265,
1963.04,414891,
1964.01,425171,
1964.02,426739,
1964.03,431191,
1964.04,433525,
1965.01,447172,
1965.02,451456,
1965.03,457604,
1965.04,468854,
1966.01,477834,
1966.02,487964,
1966.03,487842,
1966.04,493815,
1967.01,492724,
1967.02,503103,
1967.03,504902,
1967.04,506951,
1968.01,511137,
1968.02,525040,
1968.03,532220,
1968.04,539569,
1969.01,546628,
1969.02,549322,
1969.03,555214,
1969.04,563161,
1970.01,566806,
1970.02,566783,
1970.03,572634,
1970.04,573656,
1971.01,570365,
1971.02,586903,
1971.03,603215,
1971.04,609885,
1972.01,607760,
1972.02,624960,
1972.03,626702,
1972.04,641551,
1973.01,658304,
1973.02,665444,
1973.03,667853,
1973.04,680334,
1974.01,685378,
1974.02,692878,
1974.03,692269,
1974.04,689058,
1975.01,684728,
1975.02,693627,
1975.03,706653,
1975.04,714896,
1976.01,727284,6.91537849
1976.02,743021,6.86836484
1976.03,746330,7.15357299
1976.04,747868,7.40703508
1977.01,758503,7.75634056
1977.02,762578,7.8436238
1977.03,766612,8.19198156
1977.04,778733,8.45530344
1978.01,785281,8.3795016
1978.02,790668,8.47842339
1978.03,798215,8.39930397
1978.04,805215,8.26177385
1979.01,811914,8.0547312
1979.02,822851,7.65247778
1979.03,828545,7.12202804
1979.04,834060,7.21551212
1980.01,839900,7.5591344
1980.02,839633,7.74439498
1980.03,838669,7.54513729
1980.04,850244,7.24488945
1981.01,868983,7.38993668
1981.02,878750,7.18148276
1981.03,870861,7.46530517
1981.04,866874,8.42357171
1982.01,856676,8.94493169
1982.02,846763,10.413458
1982.03,839341,12.0794016
1982.04,831597,12.9924312
1983.01,845508,12.6391973
1983.02,862126,12.4221536
1983.03,871768,11.643016
1983.04,882754,11.2878505
1984.01,897940,11.2898198
1984.02,915503,11.5143874
1984.03,919353,11.4256234
1984.04,933920,11.2671161
1985.01,948110,10.7832191
1985.02,951132,10.6914625
1985.03,963199,10.313678
1985.04,977982,10.2158357
1986.01,977688,9.84254848
1986.02,983246,9.58491969
1986.03,984487,9.56128059
1986.04,977378,9.42976808
1987.01,999928,9.46892667
1987.02,1012843,8.99779132
1987.03,1028259,8.5941249
1987.04,1041543,8.16002932
1988.01,1056728,7.88023271
1988.02,1066087,7.68435812
1988.03,1066184,7.80606822
1988.04,1073620,7.66778846
1989.01,1085867,7.54472659
1989.02,1090017,7.64126306
1989.03,1093917,7.37517439
1989.04,1091582,7.45012218
1990.01,1101873,7.61930019
1990.02,1097310,7.6518982
1990.03,1089546,8.19472247
1990.04,1079836,9.14511856
1991.01,1064426,10.1383294
1991.02,1069389,10.3390071
1991.03,1070821,10.4407217
1991.04,1072797,10.3338396
1992.01,1073579,10.5978673
1992.02,1074890,11.0176917
1992.03,1080662,11.5271802
1992.04,1086810,11.7248961
1993.01,1093765,11.1035546
1993.02,1103723,11.6200313
1993.03,1114242,11.4463896
1993.04,1119052,11.2928577
1994.01,1135542,11.0188502
1994.02,1152136,10.6386782
1994.03,1166865,10.1303193
1994.04,1175379,9.74201474
1995.01,1186304,9.60632674
1995.02,1186783,9.49556717
1995.03,1188347,9.47864074
1995.04,1193217,9.30604123
1996.01,1194038,9.5086556
1996.02,1202352,9.44631711
1996.03,1212740,9.69810061
1996.04,1222507,9.84665883
1997.01,1238634,9.44258029
1997.02,1252626,9.31196353
1997.03,1267450,8.87805566
1997.04,1279723,8.73171835
1998.01,1297798,8.57550369
1998.02,1298491,8.3081769
1998.03,1310310,8.19006862
1998.04,1328139,8.06276004
1999.01,1352229,7.89179863
1999.02,1363541,7.90589101
1999.03,1384876,7.48804588
1999.04,1404357,6.9645478
2000.01,1426823,6.83858898
2000.02,1443782,6.69687708
2000.03,1458465,6.89944832
2000.04,1460962,6.91328925
2001.01,1468700,7.00593978
2001.02,1472658,7.12829859
2001.03,1471677,7.15985416
2001.04,1480637,7.61335318
2002.01,1502613,7.92228941
2002.02,1511469,7.70293749
2002.03,1524550,7.5185229
2002.04,1532914,7.54359046
2003.01,1541396,7.42229203
2003.02,1539123,7.67437365
2003.03,1544874,7.7723126
2003.04,1555533,7.45106553
2004.01,1566737,7.33776308
2004.02,1585347,7.1656435
2004.03,1604061,6.99374121
2004.04,1615585,7.12887603
2005.01,1621176,6.9592862
2005.02,1632938,6.83600123
2005.03,1652719,6.68671359
2005.04,1669060,6.5264977
2006.01,1682596,6.45630705
2006.02,1683465,6.19016098
2006.03,1688166,6.42253724
2006.04,1694895,6.16515409
2007.01,1705736,6.18341212
2007.02,1722263,6.07832521
2007.03,1729494,5.94454738
2007.04,1731459,5.92588611
2008.01,1732786,5.97241965
2008.02,1739053,6.0064271
2008.03,1753314,6.06417297
2008.04,1732984,6.54349387
2009.01,1693824,7.83516516
2009.02,1675340,8.51965745
2009.03,1682878,8.56926853
2009.04,1702503,8.46156926
2010.01,1723041,8.25246156
2010.02,1732057,8.0273982
2010.03,1744332,8.11739877
2010.04,1763825,7.69375073
2011.01,1777148,7.70823205
2011.02,1780610,7.54316792
2011.03,1805176,7.31826866
2011.04,1819392,7.45921329
2012.01,1820558,7.46752031
2012.02,1826496,7.26439535
2012.03,1828984,7.22964279
2012.04,1832766,7.28769157
2013.01,1849206,7.13798918
2013.02,1859938,7.09202209
2013.03,1875096,7.06562802
2013.04,1894795,7.07261025
2014.01,1897892,7.01453981
2014.02,1915226,7.00480099
2014.03,1933594,6.97386477
2014.04,1946974,6.67334373
2015.01,1936275,6.7367993
2015.02,1931005,6.84480513
2015.03,1937835,6.9620908
2015.04,1939286,7.07137644
2016.01,1949923,7.17384842
2016.02,1940335,6.96265271
2016.03,1960344,6.94634922
2016.04,1971351,6.90130772
2017.01,1994056,6.67326696
2017.02,2017569,6.46629758
2017.03,2024764,6.17278722
2017.04,2033577,5.98110855
2018.01,2044627,5.84488471
2018.02,2052613,5.91946867
2018.03,2065093,5.89439702
2018.04,2070133,5.67358784
2019.01,2074494,5.78092767
2019.02,2092327,5.54586705
2019.03,2099200,5.636725
2019.04,2106492,5.767707
