State,GDP,Employment,Capital
Alabama,169689,1952091,137904
Alaska,49194,310810,33407
Arizona,262380,2647691,196447
Arkansas,103592,1173852,84571
California,1949059,15640575,1562427
Colorado,244349,2292630,228274
Connecticut,236036,1686043,181628
Delaware,56381,423412,33946
District of Columbia,96625,678119,58996
Florida,773521,7945162,548929
Georgia,409935,4077184,340013
Hawaii,64793,625862,41981
Idaho,54921,660683,43968
Illinois,646172,5869157,526603
Indiana,271176,2905725,215458
Iowa,136818,1485627,102400
Kansas,120642,1356966,107837
Kentucky,155495,1801907,128272
Louisiana,209013,1868986,167915
Maine,49370,602321,38056
Maryland,291347,2547351,212646
Massachusetts,379868,3234357,311015
Michigan,401866,4179122,346490
Minnesota,259409,2687482,216963
Mississippi,92067,1135336,72487
Missouri,241865,2719380,194283
Montana,35850,436656,34328
Nebraska,82506,916580,75537
Nevada,132198,1284502,98893
New Hampshire,59768,630204,51085
New Jersey,489217,3961341,376628
New Mexico,80753,821484,55057
New York,1124976,8554012,957048
North Carolina,397609,4062955,272213
North Dakota,28932,341705,26137
Ohio,489937,5306812,379351
Oklahoma,147626,1534802,165461
Oregon,170656,1727886,132925
Pennsylvania,558333,5652547,473980
Rhode Island,47450,480132,35517
South Carolina,160038,1891255,119273
South Dakota,35357,392060,25104
Tennessee,243714,2745099,200786
Texas,1176966,10231906,1303615
Utah,116925,1219207,85664
Vermont,24802,303448,21045
Virginia,389984,3672958,273303
Washington,342684,2925908,258909
West Virginia,58428,706172,57521
Wisconsin,244426,2780924,195511
Wyoming,36703,277721,35714
